Name,City,State,Zipcode,Latitude,Longitude,Admission Rate,SAT Average,ACT Median,Undergrad Population,In-state Tuition,Out-of-state Tuition,Tuition Difference,Diff Percent
Yale University,New Haven,CT,6520,41.3102,-72.9289,0.0705,1497,34,5351,44000,44000,0,100
Johns Hopkins University,Baltimore,MD,21218-2688,39.3284,-76.6208,0.1813,1418,32,5278,45470,45470,0,100
Carnegie Mellon University,Pittsburgh,PA,15213-3890,40.4446,-79.9429,0.2549,1432,32,5224,47642,47642,0,100
Indiana Wesleyan University,Marion,IN,46953-4974,40.5185,-85.662,0.9515,1083,24,5220,23628,23628,0,100
The College of New Rochelle,New Rochelle,NY,10805-2339,40.8994,-73.7811,0.5695,986,24,5191,31260,31260,0,100
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,42.729,-73.6788,0.412,1366,29,5167,46269,46269,0,100
Bradley University,Peoria,IL,61625-0001,40.6976,-89.6146,0.6694,1163,26,5116,29664,29664,0,100
York College Pennsylvania,York,PA,17403-3651,39.9467,-76.7273,0.7351,1045,23,5073,17010,17010,0,100
School of Visual Arts,New York,NY,10010,40.7387,-73.9822,0.7489,1020,23,4972,32270,32270,0,100
Hampton University,Hampton,VA,23668-0099,37.0221,-76.3376,0.3605,990,21,4891,20724,20724,0,100
Tufts University,Medford,MA,02155-5555,42.406,-71.1206,0.1884,1428,32,4886,46598,46598,0,100
Quinnipiac University,Hamden,CT,6518,41.4195,-72.8955,0.6722,1102,25,4843,39330,39330,0,100
University of San Diego,San Diego,CA,92110-2492,32.7714,-117.1887,0.4885,1228,28,4793,41392,41392,0,100
The New School,New York,NY,10011-8603,40.7353,-73.9946,0.6659,1131,25,4746,40426,40426,0,100
Lehigh University,Bethlehem,PA,18015,40.6072,-75.3789,0.3084,1322,30,4685,43520,43520,0,100
Roosevelt University,Chicago,IL,60605-1394,41.8761,-87.625,0.7878,1035,22,4665,26500,26500,0,100
University of San Francisco,San Francisco,CA,94117-1080,37.7756,-122.451,0.6129,1161,25,4664,40294,40294,0,100
Princeton University,Princeton,NJ,08544-0070,40.3482,-74.6644,0.0741,1495,33,4663,40170,40170,0,100
Wayland Baptist University,Plainview,TX,79072,34.1867,-101.7296,0.9862,940,20,4634,12550,12550,0,100
Campbell University,Buies Creek,NC,27506,35.4093,-78.7395,0.6983,1030,22,4594,26240,26240,0,100
Saint Joseph's University,Philadelphia,PA,19131-1395,39.9944,-75.2383,0.7873,1110,24,4517,39040,39040,0,100
University of Rochester,Rochester,NY,14627-0011,43.1266,-77.6316,0.3568,1353,31,4480,45372,45372,0,100
Providence College,Providence,RI,02918-0001,41.8441,-71.4379,0.5979,1158,26,4405,43245,43245,0,100
Bentley University,Waltham,MA,02452-4705,42.3888,-71.2201,0.4379,1234,28,4316,41110,41110,0,100
Santa Clara University,Santa Clara,CA,95053,37.3527,-121.9382,0.5122,1294,29,4308,42156,42156,0,100
Calvin College,Grand Rapids,MI,49546,42.9299,-85.5875,0.6975,1183,26,4263,28250,28250,0,100
Massachusetts Institute of Technology,Cambridge,MA,02139-4307,42.3601,-71.0921,0.0815,1503,34,4258,43498,43498,0,100
Savannah College of Art and Design,Savannah,GA,31402-3146,32.073,-81.0939,0.6547,1078,24,4249,33450,33450,0,100
Abilene Christian University,Abilene,TX,79699,32.4692,-99.7095,0.4894,1087,24,4231,28350,28350,0,100
Monmouth University,West Long Branch,NJ,07764-1898,40.2801,-74.0064,0.7791,1063,24,4194,31018,31018,0,100
Rider University,Lawrenceville,NJ,08648-3099,40.2831,-74.7428,0.7187,1038,22,4178,35270,35270,0,100
Nova Southeastern University,Fort Lauderdale,FL,33314-7796,26.0793,-80.2425,0.5746,1084,24,4110,25430,25430,0,100
Dartmouth College,Hanover,NH,03755-3529,43.7137,-72.2603,0.0978,1446,32,4057,46752,46752,0,100
Drury University,Springfield,MO,65802-3791,37.2198,-93.2858,0.8095,1146,25,4053,22295,22295,0,100
Baldwin Wallace University,Berea,OH,44017-2088,41.3739,-81.8491,0.6396,1096,24,4043,27840,27840,0,100
Clark Atlanta University,Atlanta,GA,30314-4391,33.7488,-84.4128,0.568,880,19,4030,21100,21100,0,100
Xavier University,Cincinnati,OH,45207-1092,39.1493,-84.4776,0.6997,1132,25,4019,33000,33000,0,100
University of Chicago,Chicago,IL,60637,41.7892,-87.6012,0.0881,1504,34,4008,47514,47514,0,100
University of Denver,Denver,CO,80208,39.696,-104.9646,0.7673,1231,28,3992,40707,40707,0,100
Lindenwood University,Saint Charles,MO,63301-1695,38.7882,-90.5028,0.6629,1045,23,3991,15150,15150,0,100
Harding University,Searcy,AR,72143,35.2496,-91.729,0.7628,1139,25,3982,16170,16170,0,100
University of Scranton,Scranton,PA,18510-4629,41.4072,-75.658,0.7503,1121,25,3970,38754,38754,0,100
Elon University,Elon,NC,27244-2010,36.1041,-79.5056,0.5398,1200,25,3900,30149,30149,0,100
Concordia University-Wisconsin,Mequon,WI,53097-2402,43.2542,-87.9166,0.6992,1049,23,3852,25160,25160,0,100
University of Detroit Mercy,Detroit,MI,48221-3038,42.4172,-83.1384,0.6147,1142,25,3830,35920,35920,0,100
Creighton University,Omaha,NE,68178,41.2653,-95.947,0.7665,1214,27,3765,34330,34330,0,100
Robert Morris University,Moon Township,PA,15108-1189,40.5211,-80.2118,0.8051,1041,23,3714,25114,25114,0,100
Loyola University New Orleans,New Orleans,LA,70118-6143,29.9361,-90.1204,0.8707,1143,25,3688,36860,36860,0,100
Northwood University-Michigan,Midland,MI,48640-2398,43.629,-84.2763,0.6538,1029,22,3657,22130,22130,0,100
University of Richmond,University of Richmond,VA,23173,37.5776,-77.5387,0.3116,1313,30,3652,45320,45320,0,100
Webster University,Saint Louis,MO,63119-3194,38.5893,-90.3457,0.5806,1107,24,3639,23760,23760,0,100
Southern University at New Orleans,New Orleans,LA,70126,30.0267,-90.0444,0.4888,808,17,3573,4911,4911,0,100
St Catherine University,Saint Paul,MN,55105,44.9245,-93.1819,0.6089,1051,23,3555,34744,34744,0,100
John Carroll University,University Heights,OH,44118-4581,41.4894,-81.5323,0.8334,1112,25,3525,34480,34480,0,100
Loyola University Maryland,Baltimore,MD,21210-2699,39.346,-76.6234,0.58,1194,27,3476,43250,43250,0,100
The University of Findlay,Findlay,OH,45840-3653,41.0544,-83.6521,0.6832,1083,24,3459,29798,29798,0,100
Azusa Pacific University,Azusa,CA,91702-7000,34.1309,-117.888,0.7985,1098,24,3453,32256,32256,0,100
Bucknell University,Lewisburg,PA,17837,40.9545,-76.8863,0.2951,1306,30,3443,46902,46902,0,100
Suffolk University,Boston,MA,02108-2770,42.3591,-71.0618,0.825,1014,23,3438,31716,31716,0,100
Case Western Reserve University,Cleveland,OH,44106,41.5008,-81.6058,0.4188,1377,31,3434,41800,41800,0,100
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,32.4288,-93.7038,0.8349,1030,22,3422,5606,5606,0,100
Iona College,New Rochelle,NY,10801-1890,40.9271,-73.7856,0.9212,1009,22,3422,32770,32770,0,100
Lakeland College,Plymouth,WI,53073,43.8419,-87.885,0.6621,1007,22,3390,22950,22950,0,100
Springfield College,Springfield,MA,01109-3797,42.105,-72.5557,0.6992,1029,23,3371,32560,32560,0,100
Delta State University,Cleveland,MS,38733,33.7439,-90.7344,0.8941,950,20,3356,6562,6562,0,100
Widener University-Main Campus,Chester,PA,19013-5792,39.8616,-75.3567,0.6726,1025,,3355,38028,38028,0,100
Canisius College,Buffalo,NY,14208-1098,42.9253,-78.8518,0.7251,1101,25,3349,33332,33332,0,100
Lewis University,Romeoville,IL,60446-2200,41.6054,-88.079,0.5587,1088,24,3327,26780,26780,0,100
Saint Joseph's College of Maine,Standish,ME,04084-5236,43.8265,-70.4835,0.7778,960,,3322,30990,30990,0,100
University of La Verne,La Verne,CA,91750-4401,34.1009,-117.7726,0.3895,1035,23,3319,35000,35000,0,100
Butler University,Indianapolis,IN,46208,39.8407,-86.1718,0.661,1212,28,3315,34368,34368,0,100
Seattle University,Seattle,WA,98122-4340,47.6101,-122.3197,0.7323,1175,27,3303,36465,36465,0,100
Xavier University of Louisiana,New Orleans,LA,70125-1098,29.9642,-90.1073,0.5443,1048,23,3284,20560,20560,0,100
Brandeis University,Waltham,MA,02454-9110,42.3649,-71.2547,0.3704,1347,30,3282,45856,45856,0,100
Siena College,Loudonville,NY,12211-1462,42.7186,-73.7515,0.6805,1122,25,3278,31368,31368,0,100
Pacific Lutheran University,Tacoma,WA,98447-0003,47.1455,-122.4454,0.7676,1112,25,3247,34740,34740,0,100
Lee University,Cleveland,TN,37311,35.1662,-84.87,0.9165,1094,24,3236,13750,13750,0,100
Dallas Baptist University,Dallas,TX,75211-9299,32.71,-96.947,0.423,1078,23,3190,22350,22350,0,100
Wentworth Institute of Technology,Boston,MA,2115,42.3366,-71.095,0.5761,1109,24,3187,29200,29200,0,100
Emerson College,Boston,MA,02116-4624,42.3553,-71.074,0.4798,1240,28,3168,35730,35730,0,100
Western New England University,Springfield,MA,01119-2684,42.1158,-72.5188,0.8151,1077,24,3136,33020,33020,0,100
Oral Roberts University,Tulsa,OK,74171,36.0507,-95.9542,0.4354,1037,23,3132,22508,22508,0,100
Madonna University,Livonia,MI,48150-1176,42.3865,-83.4073,0.6125,1034,22,3130,16340,16340,0,100
Cardinal Stritch University,Milwaukee,WI,53217-3985,43.1398,-87.909,0.8423,1027,22,3124,25450,25450,0,100
Saint Edward's University,Austin,TX,78704-6489,30.2298,-97.7576,0.7853,1117,24,3105,33720,33720,0,100
Southern New Hampshire University,Manchester,NH,03106-1045,43.0399,-71.4539,0.7866,965,,3099,28884,28884,0,100
Adelphi University,Garden City,NY,11530-0701,40.7214,-73.6533,0.6814,1098,22,3099,30800,30800,0,100
University of the Pacific,Stockton,CA,95211-0197,37.9806,-121.3073,0.7265,1172,26,3093,39810,39810,0,100
Pepperdine University,Malibu,CA,90263,34.0419,-118.7077,0.3734,1235,,3068,44902,44902,0,100
New York Institute of Technology,Old Westbury,NY,11568-8000,40.8144,-73.6089,0.7407,1039,22,3052,30780,30780,0,100
Saint Mary's College of California,Moraga,CA,94575,37.84,-122.1068,0.6947,1115,25,3035,39890,39890,0,100
Mercyhurst University,Erie,PA,16546,42.104,-80.0556,0.7536,1064,24,3022,30300,30300,0,100
Gonzaga University,Spokane,WA,99258-0001,47.6681,-117.4031,0.6651,1204,27,3019,35062,35062,0,100
University of Redlands,Redlands,CA,92373-0999,34.0636,-117.1638,0.672,1135,25,3015,41290,41290,0,100
Hope College,Holland,MI,49423-3607,42.7881,-86.1054,0.7253,1204,27,3015,28720,28720,0,100
St Olaf College,Northfield,MN,55057-1098,44.4629,-93.1836,0.5919,1290,29,3014,40700,40700,0,100
University of the Incarnate Word,San Antonio,TX,78209,29.4681,-98.4677,0.9307,967,21,3003,24790,24790,0,100
Valparaiso University,Valparaiso,IN,46383,41.4632,-87.0459,0.7969,1158,26,2979,33480,33480,0,100
Lawrence Technological University,Southfield,MI,48075-1058,42.4741,-83.25,0.4365,1145,25,2975,28948,28948,0,100
Morehouse College,Atlanta,GA,30314,33.7479,-84.4152,0.6684,990,21,2970,25468,25468,0,100
The University of Tampa,Tampa,FL,33606-1490,27.9472,-82.4656,0.5221,1075,24,2961,25772,25772,0,100
Chapman University,Orange,CA,92866,33.7937,-117.8515,0.4471,1208,27,2953,43573,43573,0,100
Augsburg College,Minneapolis,MN,55454,44.9656,-93.2414,0.6086,1053,23,2913,33209,33209,0,100
Minot State University,Minot,ND,58707,48.2469,-101.3006,0.5662,1004,22,2907,6086,6086,0,100
Oberlin College,Oberlin,OH,44074,41.2947,-82.2218,0.3041,1354,30,2905,46870,46870,0,100
Bryant University,Smithfield,RI,02917-1291,41.9201,-71.5391,0.7655,1137,25,2901,37234,37234,0,100
Drake University,Des Moines,IA,50311-4505,41.6038,-93.6541,0.6595,1240,28,2890,30889,30889,0,100
University of Tulsa,Tulsa,OK,74104-3189,36.1519,-95.9452,0.4059,1279,29,2874,34835,34835,0,100
Samford University,Birmingham,AL,35229-2240,33.4646,-86.7909,0.7697,1153,26,2870,26328,26328,0,100
University of St Francis,Joliet,IL,60435-6188,41.5333,-88.0964,0.5141,1070,23,2858,27970,27970,0,100
University of Indianapolis,Indianapolis,IN,46227-3697,39.7097,-86.1347,0.8443,1018,22,2856,24660,24660,0,100
Cedarville University,Cedarville,OH,45314-0601,39.7503,-83.8121,0.7401,1195,27,2847,26420,26420,0,100
Concordia College at Moorhead,Moorhead,MN,56562,46.8594,-96.7656,0.7998,1144,25,2826,32814,32814,0,100
Ashland University,Ashland,OH,44805,40.861,-82.3206,0.7438,1043,23,2819,29836,29836,0,100
Colgate University,Hamilton,NY,13346-1398,42.8188,-75.535,0.2638,1370,31,2811,46380,46380,0,100
Philadelphia University,Philadelphia,PA,19144-5497,40.0216,-75.1927,0.6408,1062,23,2809,33690,33690,0,100
Biola University,La Mirada,CA,90639-0001,33.9048,-118.0173,0.7286,1123,25,2797,32142,32142,0,100
Messiah College,Mechanicsburg,PA,17055,40.1587,-76.9885,0.659,1154,26,2797,30470,30470,0,100
Furman University,Greenville,SC,29613-6162,34.9208,-82.4415,0.6397,1237,28,2789,43164,43164,0,100
University of Minnesota-Crookston,Crookston,MN,56716-5001,47.802,-96.6099,0.6916,1004,22,2775,11448,11448,0,100
Bethune-Cookman University,Daytona Beach,FL,32114-3099,29.2102,-81.0314,0.666,812,17,2745,14410,14410,0,100
Yeshiva University,New York,NY,10033-3299,40.8508,-73.9285,0.8216,1217,26,2744,37600,37600,0,100
Capital University,Columbus,OH,43209-2394,39.9549,-82.9379,0.7604,1102,24,2740,31990,31990,0,100
Wesleyan University,Middletown,CT,6459,41.5568,-72.6568,0.2092,1387,31,2722,47244,47244,0,100
Southwest Baptist University,Bolivar,MO,65613-2596,37.6016,-93.4105,0.9022,1062,23,2714,20040,20040,0,100
LeTourneau University,Longview,TX,75607-7001,32.4677,-94.7273,0.4066,1175,26,2708,25740,25740,0,100
Manhattan College,Riverdale,NY,10471-4098,40.8898,-73.9019,0.6617,1090,25,2694,35725,35725,0,100
Rice University,Houston,TX,77005-1827,29.7165,-95.4036,0.1674,1454,33,2692,38941,38941,0,100
Seattle Pacific University,Seattle,WA,98119-1997,47.6493,-122.3629,0.7214,1145,26,2692,33813,33813,0,100
Saint Peter's University,Jersey City,NJ,07306-5997,40.7271,-74.0715,0.5408,913,19,2687,32284,32284,0,100
Friends University,Wichita,KS,67213,37.6785,-97.3667,0.5862,977,21,2668,23430,23430,0,100
Bethel University,Saint Paul,MN,55112,45.0571,-93.1593,0.9485,1144,25,2652,31760,31760,0,100
Stonehill College,Easton,MA,02357-6110,42.0614,-71.0781,0.7091,1133,25,2638,36160,36160,0,100
Kettering University,Flint,MI,48504-6214,43.0131,-83.7144,0.6159,1198,27,2632,35600,35600,0,100
University of Evansville,Evansville,IN,47722,37.97,-87.532,0.8409,1147,26,2624,30596,30596,0,100
High Point University,High Point,NC,27262-3598,35.9727,-79.9945,0.6418,1087,24,2623,30715,30715,0,100
Luther College,Decorah,IA,52101-1045,43.3136,-91.804,0.7212,1175,26,2621,37530,37530,0,100
University of Puget Sound,Tacoma,WA,98416,47.2637,-122.4797,0.8522,1233,28,2619,41868,41868,0,100
St Mary's University,San Antonio,TX,78228-8586,29.4518,-98.5643,0.5823,1050,23,2618,25126,25126,0,100
Saint Xavier University,Chicago,IL,60655,41.7078,-87.7135,0.5054,1010,22,2611,28970,28970,0,100
Catholic University of America,Washington,DC,20064,38.9358,-76.999,0.6007,1118,25,2609,38526,38526,0,100
Missouri Baptist University,Saint Louis,MO,63141-8698,38.642,-90.4626,0.6095,1001,22,2574,21790,21790,0,100
Maryville University of Saint Louis,Saint Louis,MO,63141-7299,38.6455,-90.5051,0.7611,1142,25,2573,25002,25002,0,100
Muhlenberg College,Allentown,PA,18104,40.5974,-75.509,0.4616,1246,28,2543,42755,42755,0,100
Clarkson University,Potsdam,NY,13699,44.6638,-74.9999,0.6403,1187,26,2539,40540,40540,0,100
University of New Haven,West Haven,CT,6516,41.2913,-72.9615,0.7441,1034,23,2537,33740,33740,0,100
Point Park University,Pittsburgh,PA,15222-1984,40.4385,-80.0015,0.7393,997,22,2531,26170,26170,0,100
Champlain College,Burlington,VT,5401,44.473,-73.2044,0.7079,1122,25,2530,31350,31350,0,100
University of Portland,Portland,OR,97203-5798,45.5718,-122.7269,0.668,1195,,2512,38670,38670,0,100
Otterbein University,Westerville,OH,43081,40.1254,-82.9356,0.7374,1087,24,2511,31424,31424,0,100
Belmont University,Nashville,TN,37212-3757,36.1339,-86.7947,0.7987,1193,27,2507,27380,27380,0,100
Marymount Manhattan College,New York,NY,10021-4597,40.7691,-73.9597,0.7463,1053,24,2497,26640,26640,0,100
Elmhurst College,Elmhurst,IL,60126-3096,41.8992,-87.9461,0.718,1084,24,2484,32920,32920,0,100
Gardner-Webb University,Boiling Springs,NC,28017-0997,35.2473,-81.6681,0.4817,1018,22,2474,25830,25830,0,100
Niagara University,Niagara University,NY,14109,43.1386,-79.0311,0.6633,1038,23,2473,28200,28200,0,100
Gannon University,Erie,PA,16541-0001,42.1261,-80.0863,0.8042,1050,23,2470,27546,27546,0,100
Tuskegee University,Tuskegee,AL,36088-1920,32.431,-85.7103,0.3511,937,20,2467,18900,18900,0,100
Skidmore College,Saratoga Springs,NY,12866,43.0927,-73.7851,0.3505,1247,28,2451,45874,45874,0,100
Mississippi College,Clinton,MS,39058,32.3346,-90.3305,0.673,1098,24,2440,14868,14868,0,100
Meredith College,Raleigh,NC,27607-5298,35.7972,-78.6892,0.6232,1040,23,2432,30562,30562,0,100
Loyola Marymount University,Los Angeles,CA,90045-2659,33.9706,-118.4157,0.5412,1202,27,2430,40265,40265,0,100
Wheaton College,Wheaton,IL,60187-5593,41.8709,-88.0968,0.6871,1318,30,2418,30880,30880,0,100
University of Mary Hardin-Baylor,Belton,TX,76513-2599,31.0668,-97.4635,0.8468,1069,24,2401,25200,25200,0,100
Vassar College,Poughkeepsie,NY,12604,41.6851,-73.8943,0.2411,1394,32,2400,47890,47890,0,100
Le Moyne College,Syracuse,NY,13214-1301,43.0473,-76.0884,0.619,1080,24,2399,30460,30460,0,100
Alcorn State University,Alcorn State,MS,39096-7500,31.8772,-91.1429,0.8291,851,18,2398,6108,6108,0,100
Gustavus Adolphus College,Saint Peter,MN,56082-1498,44.325,-93.9719,0.6322,1224,27,2388,39120,39120,0,100
Trinity University,San Antonio,TX,78212-7200,29.4629,-98.4826,0.6393,1270,29,2356,34678,34678,0,100
Brigham Young University-Hawaii,Laie,HI,96762-1294,21.6412,-157.9254,0.3604,1081,24,2353,4770,4770,0,100
Bellarmine University,Louisville,KY,40205-0671,38.2191,-85.7049,0.9478,1116,25,2347,34890,34890,0,100
Florida Southern College,Lakeland,FL,33801-5698,28.0315,-81.9458,0.4989,1102,25,2334,28580,28580,0,100
University of Mount Union,Alliance,OH,44601-3993,40.9051,-81.1086,0.712,1050,23,2334,27380,27380,0,100
Charleston Southern University,Charleston,SC,29406-9121,32.982,-80.0693,0.6887,973,21,2315,22090,22090,0,100
Ohio Northern University,Ada,OH,45810-1599,40.7661,-83.8307,0.6785,1153,26,2308,36720,36720,0,100
Millikin University,Decatur,IL,62522-2084,39.8426,-88.9746,0.5512,1087,24,2307,28644,28644,0,100
Point Loma Nazarene University,San Diego,CA,92106-2899,32.7133,-117.2512,0.6654,1155,26,2304,30356,30356,0,100
St Francis College,Brooklyn Heights,NY,11201-9902,40.6931,-73.9917,0.6433,940,,2304,20700,20700,0,100
Middlebury College,Middlebury,VT,5753,44.0091,-73.1761,0.1716,1391,32,2292,45314,45314,0,100
Wellesley College,Wellesley,MA,02481-8203,42.2938,-71.308,0.2911,1399,31,2287,43554,43554,0,100
Barnard College,New York,NY,10027-6598,40.8091,-73.964,0.2053,1340,30,2285,44790,44790,0,100
Lafayette College,Easton,PA,18042-1768,40.7005,-75.2091,0.3414,1283,29,2279,44670,44670,0,100
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,43.0454,-87.9077,0.6839,1244,28,2279,34470,34470,0,100
Wittenberg University,Springfield,OH,45504,39.9375,-83.8141,0.8932,1119,24,2273,38030,38030,0,100
Lipscomb University,Nashville,TN,37204-3951,36.1047,-86.7993,0.527,1149,25,2264,26094,26094,0,100
Gettysburg College,Gettysburg,PA,17325-1486,39.8361,-77.235,0.4163,1282,28,2234,45870,45870,0,100
Our Lady of the Lake University,San Antonio,TX,78207-4689,29.4256,-98.544,0.6561,882,18,2233,23938,23938,0,100
Immaculata University,Immaculata,PA,19345-0702,40.028,-75.5706,0.7964,943,20,2231,30740,30740,0,100
DePauw University,Greencastle,IN,46135-1772,39.6395,-86.8636,0.6121,1215,27,2223,40640,40640,0,100
Curry College,Milton,MA,02186-2395,42.2406,-71.114,0.6692,931,18,2218,34715,34715,0,100
St Bonaventure University,Saint Bonaventure,NY,14778,42.0786,-78.4759,0.7999,1075,24,2202,29589,29589,0,100
Stevenson University,Stevenson,MD,21153-0641,39.4213,-76.7012,0.5959,990,21,2185,27082,27082,0,100
Saint John Fisher College,Rochester,NY,14618-3597,43.1171,-77.517,0.6277,1095,25,2175,28430,28430,0,100
Mercer University,Macon,GA,31207,32.8297,-83.651,0.69,1171,26,2156,33120,33120,0,100
Stetson University,DeLand,FL,32723,29.0363,-81.3016,0.5925,1168,26,2155,38330,38330,0,100
Newbury College,Brookline,MA,2445,42.331,-71.1421,0.5953,850,,2152,28950,28950,0,100
Carthage College,Kenosha,WI,53140-1994,42.6229,-87.8207,0.7018,1105,24,2147,34850,34850,0,100
Methodist University,Fayetteville,NC,28311-1420,35.1379,-78.875,0.6122,961,21,2134,27830,27830,0,100
Spring Arbor University,Spring Arbor,MI,49283-9799,42.2062,-84.5519,0.6505,1069,23,2125,23400,23400,0,100
Union College,Schenectady,NY,12308-2311,42.8176,-73.9285,0.3728,1313,30,2124,46785,46785,0,100
Dickinson College,Carlisle,PA,17013-2896,40.2028,-77.1979,0.4444,1285,29,2115,46094,46094,0,100
Denison University,Granville,OH,43023-0713,40.0726,-82.5206,0.4597,1285,29,2108,43910,43910,0,100
Utica College,Utica,NY,13502-4892,43.0952,-75.2724,0.8542,946,21,2104,33320,33320,0,100
Trinity College,Hartford,CT,06106-3100,41.7467,-72.6887,0.3178,1240,27,2100,47510,47510,0,100
Norwich University,Northfield,VT,05663-1035,44.1394,-72.6601,0.6349,1065,24,2099,33371,33371,0,100
Anderson University,Anderson,IN,46012-3495,40.1122,-85.6623,0.5545,1053,23,2090,26280,26280,0,100
Ohio Dominican University,Columbus,OH,43219,39.9927,-82.9405,0.494,1028,22,2085,28932,28932,0,100
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,45.033,-93.1716,0.6915,1126,25,2081,28020,28020,0,100
Saint Michael's College,Colchester,VT,5439,44.4942,-73.1631,0.7511,1173,26,2073,39015,39015,0,100
College of Mount St Joseph,Cincinnati,OH,45233-1670,39.0945,-84.6401,0.8755,989,22,2061,25800,25800,0,100
Indiana Institute of Technology,Fort Wayne,IN,46803-1228,41.0783,-85.118,0.7225,934,20,2052,24860,24860,0,100
Eastern University,Saint Davids,PA,19087-3696,40.0523,-75.3703,0.6409,1041,21,2039,28090,28090,0,100
Chaminade University of Honolulu,Honolulu,HI,96816-1578,21.2903,-157.8076,0.8359,972,21,2038,20090,20090,0,100
Rockhurst University,Kansas City,MO,64110-2561,39.0308,-94.5712,0.7543,1164,26,2034,31290,31290,0,100
Florida Institute of Technology,Melbourne,FL,32901-6975,28.0645,-80.6246,0.6045,1153,26,2033,36020,36020,0,100
Truett-McConnell College,Cleveland,GA,30528,34.5944,-83.746,0.8064,939,20,2033,16610,16610,0,100
Illinois Wesleyan University,Bloomington,IL,61702-2900,40.4915,-88.9906,0.5838,1241,28,2027,39316,39316,0,100
College of Saint Benedict,Saint Joseph,MN,56374,45.5586,-94.319,0.7554,1157,26,2024,37926,37926,0,100
Williams College,Williamstown,MA,1267,42.7117,-73.2059,0.1702,1439,32,2020,46600,46600,0,100
Molloy College,Rockville Centre,NY,11571-5002,40.686,-73.6263,0.7267,1054,23,2020,25710,25710,0,100
Texas Wesleyan University,Fort Worth,TX,76105-1536,32.7333,-97.2796,0.2992,997,21,2015,22040,22040,0,100
University of Mary,Bismarck,ND,58504,46.7249,-100.7524,0.8307,1046,23,2006,14730,14730,0,100
Marymount University,Arlington,VA,22207-4224,38.9056,-77.1288,0.8252,1030,22,2004,26430,26430,0,100
North Carolina Wesleyan College,Rocky Mount,NC,27804,36.0174,-77.7742,0.4676,863,18,1996,26632,26632,0,100
Carson-Newman University,Jefferson City,TN,37760,36.1222,-83.4922,0.6657,1064,23,1994,23696,23696,0,100
McKendree University,Lebanon,IL,62254-1291,38.6094,-89.8145,0.6289,1046,23,1993,26050,26050,0,100
Oklahoma Baptist University,Shawnee,OK,74804,35.3599,-96.9343,0.5646,1098,24,1993,21842,21842,0,100
Geneva College,Beaver Falls,PA,15010-3599,40.7735,-80.3525,0.6802,1070,23,1991,25220,25220,0,100
Saint Anselm College,Manchester,NH,03102-1310,42.9851,-71.5082,0.7365,1145,25,1985,35204,35204,0,100
La Salle University,Philadelphia,PA,19141-1199,40.0385,-75.153,0.8021,996,22,1984,38200,38200,0,100
Limestone College,Gaffney,SC,29340-3799,35.0529,-81.648,0.5322,1010,22,1967,22080,22080,0,100
Houston Baptist University,Houston,TX,77074-3298,29.6944,-95.516,0.7318,1075,24,1967,27930,27930,0,100
Palm Beach Atlantic University,West Palm Beach,FL,33401,26.7046,-80.0498,0.8412,1061,23,1964,25532,25532,0,100
Dillard University,New Orleans,LA,70122,29.9965,-90.0653,0.3544,884,19,1953,16094,16094,0,100
St Thomas Aquinas College,Sparkill,NY,10976-1050,41.0411,-73.9342,0.8224,931,19,1949,26340,26340,0,100
Oklahoma City University,Oklahoma City,OK,73106-1402,35.4953,-97.5412,0.7198,1163,26,1949,29426,29426,0,100
Union University,Jackson,TN,38305-3697,35.6769,-88.8585,0.7412,1174,26,1948,26880,26880,0,100
Malone University,Canton,OH,44709-3897,40.8265,-81.3835,0.7179,1046,23,1945,25678,25678,0,100
Southern Adventist University,Collegedale,TN,37315-0370,35.0491,-85.0509,0.3826,1050,23,1939,19790,19790,0,100
Carleton College,Northfield,MN,55057-4001,44.4623,-93.1547,0.2095,1406,31,1936,46167,46167,0,100
Notre Dame of Maryland University,Baltimore,MD,21210-2476,39.3513,-76.6197,0.4964,1036,22,1930,32050,32050,0,100
Wilmington College,Wilmington,OH,45177,39.4411,-83.8173,0.4603,1006,22,1930,28190,28190,0,100
Colorado College,Colorado Springs,CO,80903,38.8466,-104.8242,0.2228,1323,30,1919,44222,44222,0,100
Hardin-Simmons University,Abilene,TX,79698-0001,32.4768,-99.7338,0.3759,1035,23,1910,23460,23460,0,100
Allegheny College,Meadville,PA,16335-3902,41.6481,-80.1469,0.6487,1182,26,1904,39100,39100,0,100
University of St Thomas,Houston,TX,77006-4696,29.7381,-95.3942,0.7724,1121,26,1904,28240,28240,0,100
The University of the Arts,Philadelphia,PA,19102-4901,39.946,-75.1659,0.7539,1010,22,1893,36582,36582,0,100
Shorter University,Rome,GA,30165,34.2582,-85.1962,0.6807,954,21,1889,19670,19670,0,100
Mount Vernon Nazarene University,Mount Vernon,OH,43050-9500,40.3739,-82.4747,0.6349,1071,23,1889,23690,23690,0,100
Spelman College,Atlanta,GA,30314-4399,33.7452,-84.4101,0.3802,1024,22,1888,24634,24634,0,100
Saint Johns University,Collegeville,MN,56321,45.5814,-94.3919,0.7516,1155,26,1880,37162,37162,0,100
Ohio Wesleyan University,Delaware,OH,43015-2370,40.2969,-83.0679,0.7533,1123,25,1880,40510,40510,0,100
