Rank,Name,Net Worth,Age,Source,Country of Citizenship
165,Joao Roberto Marinho,8200000000,61,media,Brazil
165,Jose Roberto Marinho,8200000000,59,media,Brazil
165,Roberto Irineu Marinho,8200000000,67,media,Brazil
168,Pierre Omidyar,8000000000,47,Ebay,United States
168,Ricardo Salinas Pliego,8000000000,59,"retail, media",Mexico
170,Gianluigi & Rafaela Aponte,7900000000,0,shipping,Switzerland
170,Dustin Moskovitz,7900000000,30,Facebook,United States
172,August von Finck,7700000000,84,investments,Germany
172,Leslie Wexner,7700000000,77,retail,United States
174,Giorgio Armani,7600000000,80,fashion,Italy
174,"Thomas Frist, Jr.",7600000000,76,health care,United States
174,Takemitsu Takizaki,7600000000,69,sensors,Japan
177,James Goodnight,7500000000,72,software,United States
177,Jim Pattison,7500000000,86,diversified,Canada
179,Silvio Berlusconi,7400000000,78,media,Italy
179,David Duffield,7400000000,74,business software,United States
179,"Edward Johnson, III.",7400000000,84,money management,United States
179,Liu Qiangdong,7400000000,40,e-commerce,China
179,Johann Rupert,7400000000,64,luxury goods,South Africa
184,Alexei Kuzmichev,7300000000,52,"banking, telecom, retail",Russia
185,Eli Broad,7200000000,81,investments,United States
185,Charles Cadogan,7200000000,77,real estate,United Kingdom
185,Dietmar Hopp,7200000000,74,software,Germany
185,Uday Kotak,7200000000,55,banking,India
185,Jay Y. Lee,7200000000,46,electronics/tourism,South Korea
185,Suh Kyung-Bae,7200000000,52,cosmetics,South Korea
191,Micky Arison,7100000000,65,Carnival Cruises,United States
191,Emmanuel Besnier,7100000000,44,cheese,France
193,Walter Kwok,7000000000,64,real estate,Hong Kong
193,Ralph Lauren,7000000000,75,Ralph Lauren,United States
195,David Geffen,6900000000,72,entertainment,United States
195,Graeme Hart,6900000000,59,investments,New Zealand
195,Gordon Moore,6900000000,86,Intel,United States
195,Wang Jing,6900000000,42,telecom services,China
199,Goh Cheng Liang,6800000000,0,paints,Singapore
199,Denis O'Brien,6800000000,56,telecom,Ireland
201,Rinat Akhmetov,6700000000,48,"steel, coal",Ukraine
201,Vincent Bollore,6700000000,62,investments,France
201,Jean-Claude Decaux,6700000000,77,advertising,France
201,Eva Gonda de Rivera,6700000000,0,beverages,Mexico
201,Nicky Oppenheimer,6700000000,69,diamonds,South Africa
201,Maria-Elisabeth Schaeffler,6700000000,73,ball bearings,Germany
201,Reinhold Wuerth,6700000000,79,fasteners,Germany
208,Gautam Adani,6600000000,52,"commodities, infrastructure",India
208,William Ding,6600000000,43,online games,China
208,Johann Graf,6600000000,68,gambling,Austria
208,Charles Johnson,6600000000,82,money management,United States
208,Jan Koum,6600000000,39,WhatsApp,United States
208,Liu Yongxing,6600000000,66,agribusiness,China
208,Sunil Mittal,6600000000,57,telecom,India
208,Cyrus Poonawalla,6600000000,73,vaccines,India
216,Carl Cook,6500000000,52,medical devices,United States
216,Ken Griffin,6500000000,46,hedge funds,United States
216,James Irving,6500000000,86,diversified,Canada
216,Stephen Ross,6500000000,74,real estate,United States
220,Abdulla bin Ahmad Al Ghurair,6400000000,0,diversified,United Arab Emirates
220,Richard LeFrak,6400000000,69,real estate,United States
220,Melker Schorling,6400000000,67,investments,Sweden
220,Charles Schwab,6400000000,77,discount brokerage,United States
220,Heinz Hermann Thiele,6400000000,73,brakes,Germany
225,Stanley Kroenke,6300000000,67,"sports, real estate",United States
225,Sandra Ortega Mera,6300000000,46,Zara,Spain
225,Sumner Redstone,6300000000,91,Media,United States
225,Nassef Sawiris,6300000000,54,construction,Egypt
225,Christoffel Wiese,6300000000,73,retailing,South Africa
230,Majid Al Futtaim,6200000000,0,"real estate, retail",United Arab Emirates
230,Dannine Avara,6200000000,51,pipelines,United States
230,Oleg Deripaska,6200000000,47,"aluminum, utilities",Russia
230,Scott Duncan,6200000000,32,pipelines,United States
230,Curt Engelhorn,6200000000,88,pharmaceuticals,Germany
230,Milane Frantz,6200000000,45,pipelines,United States
230,Hui Ka Yan,6200000000,56,real estate,China
230,"Rupert Johnson, Jr.",6200000000,73,money management,United States
230,Michael Kadoorie,6200000000,73,diversified,Hong Kong
230,Kelcy Warren,6200000000,59,pipelines,United States
240,Chan Laiwa,6100000000,74,real estate,China
240,Terry Gou,6100000000,64,electronics,Taiwan
240,Willi & Isolde Liebherr,6100000000,0,construction,Switzerland
240,Ira Rennert,6100000000,80,investments,United States
240,Randa Williams,6100000000,53,pipelines,United States
240,Hansjoerg Wyss,6100000000,80,medical devices,Switzerland
246,David Green,6000000000,73,retail,United States
246,Augusto & Giorgio Perfetti,6000000000,0,candy,Italy
248,Jin Sook & Do Won Chang,5900000000,60,fashion retail,United States
248,Bruce Halle,5900000000,84,tires,United States
248,Lu Zhiqiang,5900000000,62,diversified,China
248,Bruno Schroder,5900000000,82,banking,United Kingdom
248,Joseph Tsai,5900000000,51,e-commerce,Canada
248,Dennis Washington,5900000000,80,"construction, mining",United States
254,"John Gokongwei, Jr.",5800000000,87,diversified,Philippines
254,Desh Bandhu Gupta,5800000000,77,pharmaceuticals,India
254,Pauline MacMillan Keinath,5800000000,81,Cargill,United States
254,Loretta Robinson,5800000000,75,cable tv,Canada
254,Zhang Zhidong,5800000000,43,internet media,China
259,Chung Mong-Koo,5700000000,76,motor vehicles,South Korea
259,Richard DeVos,5700000000,88,Amway,United States
259,Guo Guangchang,5700000000,48,diversified,China
259,Lin Yu-lin,5700000000,79,real estate,Taiwan
259,Andrei Skoch,5700000000,49,steel,Russia
259,Juan-Miguel Villar Mir,5700000000,83,construction,Spain
265,Maria Asuncion Aramburuzabala,5600000000,51,"beer, investments",Mexico
265,Ray Lee Hunt,5600000000,72,"oil, real estate",United States
265,Ann Walton Kroenke,5600000000,66,Wal-Mart,United States
265,Quek Leng Chan,5600000000,73,"banking, real estate",Malaysia
265,Keiichiro Takahara,5600000000,83,diapers,Japan
265,Stef Wertheimer,5600000000,88,tools,Israel
271,Arthur Irving,5500000000,85,oil,Canada
271,"Herbert Kohler, Jr.",5500000000,76,plumbing fixtures,United States
271,Anders Holch Povlsen,5500000000,42,retail,Denmark
271,Jorn Rausing,5500000000,55,inherited,Sweden
271,Thomas Schmidheiny,5500000000,69,cement,Switzerland
271,Cho Yaw Wee,5500000000,86,banking,Singapore
277,Hui Wing Mau,5400000000,64,real estate,Hong Kong
277,Joe Lewis,5400000000,78,investments,United Kingdom
277,Juan Roig,5400000000,65,supermarkets,Spain
277,Robert Rowling,5400000000,61,investments,United States
277,Teh Hong Piow,5400000000,84,banking,Malaysia
277,Harry Triguboff,5400000000,81,property,Australia
283,Leon Black,5300000000,63,private equity,United States
283,Carlos and Alejandro Bulgheroni,5300000000,0,oil and gas,Argentina
283,Garrett Camp,5300000000,36,car service,Canada
283,Leonid Fedun,5300000000,58,Lukoil,Russia
283,Savitri Jindal,5300000000,64,steel,India
283,Antonia Johnson,5300000000,71,diversified,Sweden
283,Travis Kalanick,5300000000,38,car service,United States
283,Leonard Stern,5300000000,76,real estate,United States
291,David & Frederick Barclay,5200000000,81,"media, retail",United Kingdom
291,Vivien Chen,5200000000,56,real estate,Hong Kong
291,Bidzina Ivanishvili,5200000000,59,investments,Georgia
291,Micky Jagtiani,5200000000,63,retail,India
291,Henry Kravis,5200000000,71,private equity,United States
291,James Packer,5200000000,47,casinos,Australia
291,"Enrique Razon, Jr.",5200000000,54,ports,Philippines
291,Odd Reitan,5200000000,63,supermarkets,Norway
291,George Roberts,5200000000,71,private equity,United States
291,Paolo & Gianfelice Mario Rocca,5200000000,0,pipe manufacturing,Italy
301,Pyotr Aven,5100000000,59,"banking, telecom",Russia
301,Ivan Glasenberg,5100000000,58,mining,Switzerland
301,Philip & Cristina Green,5100000000,62,retail,United Kingdom
301,Lu Guanqiu,5100000000,70,diversified,China
301,Arnon Milchan,5100000000,70,movie making,Israel
301,Dan Olsson,5100000000,68,diversified,Sweden
301,Finn Rausing,5100000000,60,inherited,Sweden
301,Kirsten Rausing,5100000000,62,packaging,Sweden
309,Laurence Graff,5000000000,76,diamond jewelry,United Kingdom
309,Pansy Ho,5000000000,52,casinos,Hong Kong
309,Bertil Hult,5000000000,74,education,Sweden
309,Karl-Heinz Kipp,5000000000,91,retail,Germany
309,Bruce Kovner,5000000000,70,hedge funds,United States
309,George Lucas,5000000000,70,Star Wars,United States
309,David Sun,5000000000,63,computer hardware,United States
309,John Tu,5000000000,74,computer hardware,United States
309,Yang Huiyan,5000000000,33,real estate,China
318,Michael Ashley,4900000000,50,sports retailing,United Kingdom
318,James Dyson,4900000000,67,vacuums,United Kingdom
318,Albert Frere,4900000000,89,investments,Belgium
318,Jeffery Hildebrand,4900000000,55,oil,United States
318,Kwee brothers,4900000000,70,real estate,Singapore
318,Liang Wengen,4900000000,58,construction equipment,China
318,Frank Lowy,4900000000,84,shopping malls,Australia
318,Frederik Paulsen,4900000000,64,health care,Sweden
318,Sam Zell,4900000000,73,"real estate, private equity",United States
318,Daniel Ziff,4900000000,43,investments,United States
318,Dirk Ziff,4900000000,50,investments,United States
318,Robert Ziff,4900000000,48,investments,United States
330,Isak Andic,4800000000,61,clothing retail,Spain
330,Richard Branson,4800000000,64,Virgin,United Kingdom
330,Adi Godrej,4800000000,72,consumer goods,India
330,Jamshyd Godrej,4800000000,66,consumer goods,India
330,Michael & Marian Ilitch,4800000000,85,pizza,United States
330,Ted Lerner,4800000000,89,real estate,United States
330,Idan Ofer,4800000000,59,"drilling, shipping",Israel
330,Emanuele (Lino) Saputo,4800000000,78,cheese,Canada
330,Eduardo Saverin,4800000000,32,Facebook,Brazil
330,Andrew Tan,4800000000,62,diversified,Philippines
330,Zhou Jianping,4800000000,54,apparel,China
341,Phillip Frost,4700000000,78,pharmaceuticals,United States
341,Daniel Gilbert,4700000000,53,Quicken Loans,United States
341,Gong Hongjia,4700000000,50,investments,Hong Kong
341,Stein Erik Hagen,4700000000,58,retail,Norway
341,Reid Hoffman,4700000000,47,LinkedIn,United States
341,Nancy Walton Laurie,4700000000,63,Wal-Mart,United States
341,Liu Yonghao,4700000000,63,agribusiness,China
341,Sri Prakash Lohia,4700000000,62,polyester,Indonesia
341,Whitney MacMillan,4700000000,86,Cargill,United States
341,John A. Sobrato,4700000000,75,real estate,United States
341,Tong Jinquan,4700000000,60,real estate,China
352,Dona Bertarelli,4600000000,47,biotech,Switzerland
352,Heinrich Deichmann,4600000000,52,Footwear,Germany
352,"Paul Tudor Jones, II.",4600000000,60,hedge funds,United States
352,Randal Kirk,4600000000,61,pharmaceuticals,United States
352,Lee Shin Cheng,4600000000,75,"palm oil, real estate",Malaysia
352,Ludwig Merckle,4600000000,50,pharmaceuticals,Germany
352,Sergei Popov,4600000000,43,banking,Russia
352,Mark Shoen,4600000000,63,U-Haul,United States
360,Alexander Abramov,4500000000,56,"steel, mining",Russia
360,Pierre Bellon,4500000000,85,food services,France
360,Kunio Busujima,4500000000,89,gaming,Japan
360,Michael Herz,4500000000,71,coffee,Germany
360,Wolfgang Herz,4500000000,64,coffee,Germany
360,Elizabeth Holmes,4500000000,31,blood testing,United States
360,Shahid Khan,4500000000,64,auto parts,United States
360,Richard Li,4500000000,48,telecoms,Hong Kong
360,Shashi & Ravi Ruia,4500000000,0,diversified,India
369,Americo Amorim,4400000000,80,"energy, investments",Portugal
369,Shari Arison,4400000000,57,Carnival Cruises,Israel
369,Abilio dos Santos Diniz,4400000000,78,retail,Brazil
369,Guenther Fielmann,4400000000,75,optometry,Germany
369,Filaret Galchev,4400000000,51,construction materials,Russia
369,Ian & Richard Livingstone,4400000000,0,real estate,United Kingdom
369,Horst Paulmann,4400000000,80,retail,Chile
369,Alejandro Santo Domingo,4400000000,38,beer,United States
369,Andres Santo Domingo,4400000000,36,beer,United States
369,Lucio Tan,4400000000,80,diversified,Philippines
369,George Ty,4400000000,82,banking,Philippines
369,Murat Ulker,4400000000,55,food manufacturing,Turkey
381,Jeronimo Arango,4300000000,89,retail,Mexico
381,Anthony Bamford,4300000000,69,construction equipment,United Kingdom
381,Charles Dolan,4300000000,88,cable television,United States
381,Tamara Gustavson,4300000000,53,self storage,United States
381,Zarakh Iliev,4300000000,48,real estate,Russia
381,Robert Kraft,4300000000,73,New England Patriots,United States
381,Luo Jye,4300000000,89,tires,Taiwan
381,God Nisanov,4300000000,42,real estate,Russia
381,Karen Pritzker,4300000000,57,"hotels, investments",United States
381,Trevor Rees-Jones,4300000000,63,oil & gas,United States
381,Chairul Tanjung,4300000000,52,diversified,Indonesia
381,Lottie Tham,4300000000,65,H&M,Sweden
393,Mike Adenuga,4200000000,61,"telcom, oil",Nigeria
393,Subhash Chandra,4200000000,64,media,India
393,Gustaf Douglas,4200000000,76,security,Sweden
393,Han Chang-Woo,4200000000,84,pachinko parlors,Japan
393,Jerry Jones,4200000000,72,Dallas Cowboys,United States
393,Kirk Kerkorian,4200000000,97,"casinos, investments",United States
393,Lin Rong San,4200000000,75,real estate,Taiwan
393,Stewart and Lynda Resnick,4200000000,0,"agriculture, water",United States
393,Wang Wei,4200000000,44,package delivery service,China
393,Karl Wlaschek,4200000000,97,retail,Austria
393,Aloys Wobben,4200000000,63,wind turbines,Germany
393,Zhang Jindong,4200000000,51,appliance retailer,China
405,Prince Sultan bin Mohammed bin Saud Al Kabeer,4100000000,61,dairy farms,Saudi Arabia
405,Benu Gopal Bangur,4100000000,83,cement,India
405,Patrizio Bertelli,4100000000,69,luxury goods,Italy
405,David Consunji,4100000000,93,construction,Philippines
405,Frits Goldschmeding,4100000000,81,temp agency,Netherlands
405,Martha Ingram,4100000000,79,"book distribution, transportation",United States
405,Barry Lam,4100000000,65,computers,Taiwan
405,John Morris,4100000000,66,sporting goods retail,United States
405,Miuccia Prada,4100000000,65,Prada,Italy
405,Mark Scheinberg,4100000000,41,online gambling,Canada
405,David Shaw,4100000000,63,hedge funds,United States
405,Donald Trump,4100000000,68,"television, real estate",United States
405,Zhang Shiping,4100000000,67,aluminum products,China
418,Anil Ambani,4000000000,55,diversified,India
418,Samvel Karapetyan,4000000000,49,development,Russia
418,Jan Kulczyk,4000000000,65,"telecom, oil, beer",Poland
418,Tom & Judy Love,4000000000,77,retail & gas stations,United States
418,Mohamed Mansour,4000000000,67,diversified,Egypt
418,Mitchell Rales,4000000000,58,"manufacturing, investments",United States
418,Wolfgang Reimann,4000000000,62,consumer goods,Germany
418,Matthias Reimann-Andersen,4000000000,49,consumer goods,Germany
418,Stefan Reimann-Andersen,4000000000,51,consumer goods,Germany
418,Renate Reimann-Haas,4000000000,63,consumer goods,Germany
418,J. Christopher Reyes,4000000000,61,food distribution,United States
418,Jude Reyes,4000000000,59,food distribution,United States
418,"Edward Roski, Jr.",4000000000,76,real estate,United States
418,Reinhold Schmieding,4000000000,60,medical devices,United States
418,Jerry Speyer,4000000000,74,real estate,United States
418,Friede Springer,4000000000,72,publishing,Germany
418,Sun Guangxin,4000000000,52,diversified,China
435,Riley Bechtel,3900000000,62,"engineering, construction",United States
435,"Stephen Bechtel, Jr.",3900000000,89,"engineering, construction",United States
435,Ralph Dommermuth,3900000000,51,internet service provider,Germany
435,Bernard Ecclestone,3900000000,84,Formula One,United Kingdom
435,Nathan Kirsh,3900000000,83,"retail, real estate",Swaziland
435,Vikram Lal,3900000000,72,motorcycles,India
435,Lars Larsen,3900000000,66,retail,Denmark
435,Ronald Lauder,3900000000,71,Estee Lauder,United States
435,George Lindemann,3900000000,78,investments,United States
435,Niels Peter Louis-Hansen,3900000000,67,medical devices,Denmark
435,Pankaj Patel,3900000000,61,pharmaceuticals,India
435,Bernard (Barry) Sherman,3900000000,73,pharmaceuticals,Canada
435,Shi Yuzhu,3900000000,52,"online games, investments",China
435,Jeffrey Skoll,3900000000,50,Ebay,United States
435,Frederick Smith,3900000000,70,FedEx,United States
435,Andreas von Bechtolsheim,3900000000,59,Google,Germany
435,Wang Chuanfu,3900000000,49,"batteries, autos",China
452,Chung Eui-Sun,3800000000,44,logistics,South Korea
452,Israel Englander,3800000000,66,hedge funds,United States
452,Dmitry Kamenshchik,3800000000,46,airport,Russia
452,Bernard Marcus,3800000000,85,Home Depot,United States
452,Brijmohan Lall Munjal,3800000000,91,motorcycles,India
452,Daniel Och,3800000000,54,hedge funds,United States
452,Terrence Pegula,3800000000,64,natural gas,United States
452,Isaac Perlmutter,3800000000,72,Marvel comics,United States
452,Krit Ratanarak,3800000000,68,"media, real estate",Thailand
452,Samuel Yin,3800000000,64,diversified,Taiwan
462,Vanich Chaiyawan,3700000000,83,"insurance, beverages",Thailand
462,Francis Choi,3700000000,68,real estate,Hong Kong
462,Leon G. Cooperman,3700000000,71,hedge funds,United States
462,Antonio Del Valle Ruiz,3700000000,76,chemicals,Mexico
462,Francisco Ivens de Sa Dias Branco,3700000000,80,food production,Brazil
462,Traudl Engelhorn,3700000000,0,pharmaceuticals/medical equipment,Germany
462,Ursula Engelhorn,3700000000,0,pharmaceuticals/medical equipment,Germany
462,Huang Wei,3700000000,55,real estate,China
462,James Jannard,3700000000,65,sunglasses,United States
462,Fredrik Lundberg,3700000000,63,"real estate, investments",Sweden
462,Gwendolyn Sontheim Meyer,3700000000,53,Cargill,United States
462,Akira Mori,3700000000,78,real estate,Japan
462,Theo Mueller,3700000000,75,dairy,Germany
462,"H. Ross Perot, Sr.",3700000000,84,"computer services, real estate",United States
462,Steven Rales,3700000000,63,manufacturing,United States
462,John Sall,3700000000,66,software,United States
462,Lynn Schusterman,3700000000,76,"oil & gas, investments",United States
462,Ronda Stryker,3700000000,60,medical equipment,United States
462,Steven Udvar-Hazy,3700000000,69,aircraft leasing,United States
481,Martin & Olivier Bouygues,3600000000,0,"construction, media",France
481,Gustavo Cisneros,3600000000,69,media,Venezuela
481,Jim Davis,3600000000,71,New Balance,United States
481,Archie Aldis Emmerson,3600000000,85,"timberland, lumber mills",United States
481,John Gandel,3600000000,80,shopping malls,Australia
481,Diane Hendricks,3600000000,68,roofing,United States
481,Antti Herlin,3600000000,58,"elevators, escalators",Finland
481,"Jeremy Jacobs, Sr.",3600000000,75,sports concessions,United States
481,Elizabeth Mohn,3600000000,74,media,Germany
481,Igor Olenicoff,3600000000,72,real estate,United States
481,Anthony Pratt,3600000000,54,manufacturing,Australia
481,Qiu Guanghe,3600000000,63,apparel retail,China
481,"Walter Scott, Jr.",3600000000,83,"utilities, telecom",United States
481,Sheldon Solow,3600000000,86,real estate,United States
481,Steven Spielberg,3600000000,68,Movies,United States
481,Yitzhak Tshuva,3600000000,66,real estate,Israel
497,Mohammed Al Issa,3500000000,90,investments,Saudi Arabia
497,Rahel Blocher,3500000000,39,chemicals,Switzerland
497,Chey Tae-Won,3500000000,54,computer services/telecoms,South Korea
497,"Edward DeBartolo, Jr.",3500000000,68,shopping centers,United States
497,Andrei Guriev,3500000000,54,fertilizers,Russia
497,Ingvar Kamprad,3500000000,88,Ikea,Sweden
497,Iskander Makhmudov,3500000000,51,"mining, metals, machinery",Russia
497,Alain Merieux,3500000000,77,pharmaceuticals,France
497,Pan Zhengmin,3500000000,45,electronics,China
497,Michael Platt,350,46,hedge Fund,United Kingdom
497,Viktor Rashnikov,3500000000,66,steel,Russia
497,Haim Saban,3500000000,70,"TV network, investments",United States
