Year,Make,ModelGroup
2014,Aston Martin,All Models
2014,Bentley,All Models
2014,BMW,3 Series
2014,BMW,4 Series
2014,BMW,5 Series
2014,BMW,6 Series
2014,BMW,7 Series
2014,BMW,M6
2014,BMW,X6
2014,Cadillac,Escalade
2014,Chevrolet,Express
2014,Chevrolet,Silverado
2014,Ferrari,All Models
2014,Ford,Econoline
2014,Ford,Expedition
2014,Ford,F-Series
2014,GMC,Savana
2014,GMC,Sierra
2014,GMC,Yukon
2014,Hyundai,Elantra
2014,Kia,Forte
2014,Lamborghini,All Models
2014,Lincoln,Navigator
2014,Lotus,All Models
2014,Maserati,All Models
2014,Mercedes-Benz,CLA-Class
2014,Mercedes-Benz,CL-Class
2014,Mercedes-Benz,CLS-Class
2014,Mercedes-Benz,E-Class
2014,Mercedes-Benz,G-Class
