Year,Make,ModelGroup
2013,Aston Martin,All Models
2013,Bentley,All Models
2013,BMW,1 Series
2013,BMW,3 Series
2013,BMW,5 Series
2013,BMW,6 Series
2013,BMW,7 Series
2013,BMW,X5
2013,BMW,X6
2013,Cadillac,Escalade
2013,Chevrolet,Express
2013,Chevrolet,Silverado
2013,Ferrari,All Models
2013,Ford,Econoline
2013,Ford,Expedition
2013,Ford,F-Series
2013,GMC,Savana
2013,GMC,Sierra
2013,GMC,Yukon
2013,Kia,Forte
2013,Lamborghini,All Models
2013,Lincoln,Navigator
2013,Lotus,All Models
2013,Maserati,All Models
2013,Mercedes-Benz,C-Class
2013,Mercedes-Benz,CL-Class
2013,Mercedes-Benz,CLS-Class
2013,Mercedes-Benz,E-Class
2013,Mercedes-Benz,G-Class
2013,Mercedes-Benz,GL-Class
2013,Mercedes-Benz,GLK-Class
2013,Mercedes-Benz,M-Class
2013,Mercedes-Benz,S-Class
2013,Mercedes-Benz,SL-Class
2013,Mercedes-Benz,SLK-Class
2013,Mercedes-Benz,SLS-Class
2013,MINI,Cooper
2013,Mitsubishi,Outlander
2013,Nissan,Murano
2013,Nissan,NV
2013,Rolls-Royce,All Models
2013,Subaru,Impreza
2013,Tesla,All Models
