Year,Make,Model,Locale
1987,Acura,Integra,en-US
1987,Acura,Legend,en-US
1987,Alfa Romeo,Milano,en-US
1987,Alfa Romeo,Spider,en-US
1987,AMC,Alliance,en-US
1987,AMC,Eagle,en-US
1987,AMC,Other AMC Models,en-US
1987,Audi,4000,en-US
1987,Audi,5000,en-US
1987,Audi,Coupe,en-US
1987,Bentley,Eight,en-US
1987,BMW,325,en-US
1987,BMW,325e,en-US
1987,BMW,325i,en-US
1987,BMW,325is,en-US
1987,BMW,528e,en-US
1987,BMW,535i,en-US
1987,BMW,635CSi,en-US
1987,BMW,735i,en-US
1987,BMW,L7,en-US
1987,BMW,M6,en-US
1987,Buick,Century,en-US
1987,Buick,Electra,en-US
1987,Buick,Le Sabre,en-US
1987,Buick,Regal,en-US
1987,Buick,Riviera,en-US
1987,Buick,Skyhawk,en-US
1987,Buick,Skylark,en-US
1987,Buick,Somerset,en-US
1987,Cadillac,Allante,en-US
1987,Cadillac,Brougham,en-US
1987,Cadillac,Cimarron,en-US
1987,Cadillac,De Ville,en-US
1987,Cadillac,Eldorado,en-US
1987,Cadillac,Fleetwood,en-US
1987,Cadillac,Seville,en-US
1987,Chevrolet,Astro,en-US
1987,Chevrolet,Beretta,en-US
1987,Chevrolet,Blazer,en-US
1987,Chevrolet,Camaro,en-US
1987,Chevrolet,Caprice,en-US
1987,Chevrolet,Cavalier,en-US
1987,Chevrolet,Celebrity,en-US
1987,Chevrolet,Chevette,en-US
1987,Chevrolet,Corsica,en-US
1987,Chevrolet,Corvette,en-US
1987,Chevrolet,El Camino,en-US
1987,Chevrolet,G10,en-US
1987,Chevrolet,G20,en-US
1987,Chevrolet,G30,en-US
1987,Chevrolet,Monte Carlo,en-US
1987,Chevrolet,Nova,en-US
1987,Chevrolet,Other Chevrolet Models,en-US
1987,Chevrolet,S10 Blazer,en-US
1987,Chevrolet,S10 Pickup,en-US
1987,Chevrolet,Silverado and other C/K1500,en-US
1987,Chevrolet,Silverado and other C/K2500,en-US
1987,Chevrolet,Silverado and other C/K3500,en-US
1987,Chevrolet,Spectrum,en-US
1987,Chevrolet,Sprint,en-US
1987,Chevrolet,Suburban,en-US
1987,Chrysler,Conquest,en-US
1987,Chrysler,Fifth Avenue,en-US
1987,Chrysler,LeBaron,en-US
1987,Chrysler,LeBaron GTS,en-US
1987,Chrysler,New Yorker,en-US
1987,Dodge,600,en-US
1987,Dodge,Aries,en-US
1987,Dodge,B150,en-US
1987,Dodge,B250,en-US
1987,Dodge,B350,en-US
1987,Dodge,Caravan,en-US
1987,Dodge,Charger,en-US
1987,Dodge,Colt,en-US
1987,Dodge,D/W Truck,en-US
1987,Dodge,Dakota,en-US
1987,Dodge,Daytona,en-US
1987,Dodge,Diplomat,en-US
1987,Dodge,Grand Caravan,en-US
1987,Dodge,Lancer,en-US
1987,Dodge,Mini Ram Van,en-US
1987,Dodge,Omni,en-US
1987,Dodge,Other Dodge Models,en-US
1987,Dodge,Raider,en-US
1987,Dodge,Ram 1500 Truck,en-US
1987,Dodge,Ram 2500 Truck,en-US
1987,Dodge,Ram 3500 Truck,en-US
1987,Dodge,Ram 50 Truck,en-US
1987,Dodge,Ramcharger,en-US
1987,Dodge,Shadow,en-US
1987,Ferrari,328,en-US
1987,Ferrari,Mondial,en-US
1987,Ferrari,Testarossa,en-US
1987,FIAT,X1/9,en-US
1987,Ford,Aerostar,en-US
1987,Ford,Bronco,en-US
1987,Ford,Bronco II,en-US
1987,Ford,Crown Victoria,en-US
1987,Ford,E-150 and Econoline 150,en-US
1987,Ford,E-250 and Econoline 250,en-US
1987,Ford,E-350 and Econoline 350,en-US
1987,Ford,Escort,en-US
1987,Ford,EXP,en-US
1987,Ford,F150,en-US
1987,Ford,F250,en-US
1987,Ford,F350,en-US
1987,Ford,Mustang,en-US
1987,Ford,Ranger,en-US
1987,Ford,Taurus,en-US
1987,Ford,Tempo,en-US
1987,Ford,Thunderbird,en-US
1987,GMC,Caballero,en-US
1987,GMC,G1500,en-US
1987,GMC,G2500,en-US
1987,GMC,G3500,en-US
1987,GMC,Jimmy,en-US
1987,GMC,S15 Jimmy,en-US
1987,GMC,S15 Pickup,en-US
1987,GMC,Safari,en-US
1987,GMC,Sierra C/K1500,en-US
1987,GMC,Sierra C/K2500,en-US
1987,GMC,Sierra C/K3500,en-US
1987,GMC,Suburban,en-US
1987,Honda,Accord,en-US
1987,Honda,Civic,en-US
1987,Honda,CRX,en-US
1987,Honda,Prelude,en-US
1987,Hyundai,Excel,en-US
1987,Isuzu,I-Mark,en-US
1987,Isuzu,Impulse,en-US
1987,Isuzu,Pickup,en-US
1987,Isuzu,Trooper II,en-US
1987,Jaguar,XJ Vanden Plas,en-US
1987,Jaguar,XJ6,en-US
1987,Jaguar,XJS,en-US
1987,Jeep,Cherokee,en-US
1987,Jeep,Comanche,en-US
1987,Jeep,Grand Wagoneer,en-US
1987,Jeep,Pickup,en-US
1987,Jeep,Wagoneer,en-US
1987,Jeep,Wrangler,en-US
1987,Lamborghini,Countach,en-US
1987,Land Rover,Range Rover,en-US
1987,Lincoln,Continental,en-US
1987,Lincoln,Mark VII,en-US
1987,Lincoln,Town Car,en-US
1987,Lotus,Esprit,en-US
1987,Maserati,Spyder,en-US
1987,Mazda,323,en-US
1987,Mazda,626,en-US
1987,Mazda,B-Series Pickup,en-US
1987,Mazda,RX-7,en-US
1987,Mercedes-Benz,190D,en-US
1987,Mercedes-Benz,190E,en-US
1987,Mercedes-Benz,260E,en-US
1987,Mercedes-Benz,300D,en-US
1987,Mercedes-Benz,300E,en-US
1987,Mercedes-Benz,300SDL,en-US
1987,Mercedes-Benz,300TD,en-US
1987,Mercedes-Benz,420SEL,en-US
1987,Mercedes-Benz,560SEC,en-US
1987,Mercedes-Benz,560SEL,en-US
1987,Mercedes-Benz,560SL,en-US
1987,Mercury,Cougar,en-US
1987,Mercury,Grand Marquis,en-US
1987,Mercury,Lynx,en-US
1987,Mercury,Marquis,en-US
1987,Mercury,Sable,en-US
1987,Mercury,Topaz,en-US
1987,Mitsubishi,Cordia,en-US
1987,Mitsubishi,Galant,en-US
1987,Mitsubishi,Mighty Max,en-US
1987,Mitsubishi,Mirage,en-US
1987,Mitsubishi,Montero,en-US
1987,Mitsubishi,Other Mitsubishi Models,en-US
1987,Mitsubishi,Starion,en-US
1987,Mitsubishi,Tredia,en-US
1987,Mitsubishi,Van,en-US
1987,Nissan,200SX,en-US
1987,Nissan,300ZX,en-US
1987,Nissan,Maxima,en-US
1987,Nissan,Other Nissan Models,en-US
1987,Nissan,Pathfinder,en-US
1987,Nissan,Pickup,en-US
1987,Nissan,Pulsar,en-US
1987,Nissan,Sentra,en-US
1987,Nissan,Stanza,en-US
1987,Nissan,Van,en-US
1987,Oldsmobile,88,en-US
1987,Oldsmobile,Custom Cruiser,en-US
1987,Oldsmobile,Cutlass,en-US
1987,Oldsmobile,Cutlass Calais,en-US
1987,Oldsmobile,Cutlass Ciera,en-US
1987,Oldsmobile,Cutlass Supreme,en-US
1987,Oldsmobile,Firenza,en-US
1987,Oldsmobile,Ninety-Eight,en-US
1987,Oldsmobile,Toronado,en-US
1987,Plymouth,Caravelle,en-US
1987,Plymouth,Colt,en-US
1987,Plymouth,Gran Fury,en-US
1987,Plymouth,Grand Voyager,en-US
1987,Plymouth,Horizon,en-US
1987,Plymouth,Reliant,en-US
1987,Plymouth,Sundance,en-US
1987,Plymouth,Turismo,en-US
1987,Plymouth,Voyager,en-US
1987,Pontiac,1000,en-US
1987,Pontiac,6000,en-US
1987,Pontiac,Bonneville,en-US
1987,Pontiac,Fiero,en-US
1987,Pontiac,Firebird,en-US
1987,Pontiac,Grand Am,en-US
1987,Pontiac,Grand Prix,en-US
1987,Pontiac,Other Pontiac Models,en-US
1987,Pontiac,Safari,en-US
1987,Pontiac,Sunbird,en-US
1987,Porsche,911,en-US
1987,Porsche,924,en-US
1987,Porsche,928,en-US
1987,Porsche,944,en-US
1987,Rolls-Royce,Corniche,en-US
1987,Rolls-Royce,Silver Spirit,en-US
1987,Rolls-Royce,Silver Spur,en-US
1987,Saab,900,en-US
1987,Saab,9000,en-US
1987,Subaru,Brat,en-US
1987,Subaru,Justy,en-US
1987,Subaru,L Series,en-US
1987,Subaru,Other Subaru Models,en-US
1987,Subaru,XT,en-US
1987,Suzuki,Samurai,en-US
1987,Toyota,4Runner,en-US
1987,Toyota,Camry,en-US
1987,Toyota,Celica,en-US
1987,Toyota,Corolla,en-US
1987,Toyota,Cressida,en-US
1987,Toyota,Land Cruiser,en-US
1987,Toyota,MR2,en-US
1987,Toyota,Pickup,en-US
1987,Toyota,Supra,en-US
1987,Toyota,Tercel,en-US
1987,Toyota,Van,en-US
1987,Volkswagen,Cabriolet,en-US
1987,Volkswagen,Fox,en-US
1987,Volkswagen,Golf,en-US
1987,Volkswagen,GTI,en-US
1987,Volkswagen,Jetta,en-US
1987,Volkswagen,Quantum,en-US
1987,Volkswagen,Scirocco,en-US
1987,Volkswagen,Vanagon,en-US
1987,Volvo,240,en-US
1987,Volvo,740,en-US
1987,Volvo,760,en-US
1987,Yugo,GV,en-US
1987,Yugo,GVX,en-US
1987,Yugo,Other Yugo Models,en-US
