"locid","city","state","latitude","longitude","address","area","day","name","time","url"
141260,"Mill Valley","CA",37.897911,-122.505908,"118 E Strawberry Dr","Intercounty Fellowship Of A.A.",1,"Bounce Back","18:00:00","http://aasf.org/vm.cfm?s=2119"
141260,"Mill Valley","CA",37.897911,-122.505908,"118 E Strawberry Dr","Intercounty Fellowship Of A.A.",2,"Mill Valley 11th Step Meeting","19:30:00","http://aasf.org/vm.cfm?s=6726"
141260,"Mill Valley","CA",37.897911,-122.505908,"118 E Strawberry Dr","Intercounty Fellowship Of A.A.",3,"Strawberry Discussion","18:00:00","http://aasf.org/vm.cfm?s=2600"
141260,"Mill Valley","CA",37.897911,-122.505908,"118 E Strawberry Dr","Intercounty Fellowship Of A.A.",5,"Living In The Solution","18:00:00","http://aasf.org/vm.cfm?s=2378"
141260,"Mill Valley","CA",37.897911,-122.505908,"118 E Strawberry Dr","Intercounty Fellowship Of A.A.",6,"Saturday Weekend Warrior","08:30:00","http://aasf.org/vm.cfm?s=6762"
141290,"Mill Valley","CA",37.8971,-122.544,"315 Montford Ave","Intercounty Fellowship Of A.A.",6,"Morning After","10:00:00","http://aasf.org/vm.cfm?s=2440"
142635,"San Rafael","CA",37.97746656,-122.52225637,"1360 Lincoln Ave","Intercounty Fellowship Of A.A.",0,"Reveille","07:00:00","http://aasf.org/vm.cfm?s=4571"
142635,"San Rafael","CA",37.97746656,-122.52225637,"1360 Lincoln Ave","Intercounty Fellowship Of A.A.",0,"Back To Basics","09:30:00","http://aasf.org/vm.cfm?s=2085"
142635,"San Rafael","CA",37.97746656,-122.52225637,"1360 Lincoln Ave","Intercounty Fellowship Of A.A.",0,"Noon Reveille","12:00:00","http://aasf.org/vm.cfm?s=2459"
142635,"San Rafael","CA",37.97746656,-122.52225637,"1360 Lincoln Ave","Intercounty Fellowship Of A.A.",0,"Women's Meeting","16:30:00","http://aasf.org/vm.cfm?s=2737"
142635,"San Rafael","CA",37.97746656,-122.52225637,"1360 Lincoln Ave","Intercounty Fellowship Of A.A.",0,"Serenity","18:00:00","http://aasf.org/vm.cfm?s=2535"
142635,"San Rafael","CA",37.97746656,-122.52225637,"1360 Lincoln Ave","Intercounty Fellowship Of A.A.",0,"Sunday Night Step","20:00:00","http://aasf.org/vm.cfm?s=2611"
142635,"San Rafael","CA",37.97746656,-122.52225637,"1360 Lincoln Ave","Intercounty Fellowship Of A.A.",1,"Reveille","07:00:00","http://aasf.org/vm.cfm?s=2509"
